[00:01:15] 1,1,1,1,0,0,Information Log
[00:01:16] Escort,76.01,False,3.03,0,MG Log
[00:01:16] 1,1,1,1,0,0,Information Log
[00:01:17] Escort,77.02,False,3.57,0,MG Log
[00:01:17] 1,1,1,1,0,0,Information Log
[00:01:18] Escort,78.03,False,4.12,0,MG Log
[00:01:18] 1,1,1,1,0,0,Information Log
[00:01:18] 78.69,morning,Ramattra,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,12,0,0,615,675,Player Log
[00:01:19] Escort,79.04,False,4.66,0,MG Log
[00:01:19] 1,1,1,1,0,0,Information Log
[00:01:20] Escort,80.05,False,5.20,0,MG Log
[00:01:20] 1,1,1,1,0,0,Information Log
[00:01:21] Escort,81.06,False,5.74,0,MG Log
[00:01:21] 1,1,1,1,0,0,Information Log
[00:01:22] Escort,82.06,False,6.29,0,MG Log
[00:01:22] 1,1,1,1,0,0,Information Log
[00:01:22] 82.67,Coronet,Lúcio,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,140,200,Player Log
[00:01:23] Escort,83.07,False,6.67,0,MG Log
[00:01:23] 1,1,1,1,0,0,Information Log
[00:01:24] Escort,84.08,False,6.67,0,MG Log
[00:01:24] 1,1,1,1,0,0,Information Log
[00:01:25] Escort,85.09,False,6.67,0,MG Log
[00:01:25] 1,1,1,1,0,0,Information Log
[00:01:26] Escort,86.10,False,6.67,0,MG Log
[00:01:26] 1,1,1,1,0,0,Information Log
[00:01:26] 86.69,morning,Ramattra,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,18,5.13,0,390,450,Player Log
[00:01:27] Escort,87.10,False,6.67,0,MG Log
[00:01:27] 1,1,1,1,0,0,Information Log
[00:01:28] Escort,88.11,False,6.67,0,MG Log
[00:01:28] 1,1,1,1,0,0,Information Log
[00:01:29] Escort,89.12,False,6.67,0,MG Log
[00:01:29] 1,1,1,1,0,0,Information Log
[00:01:30] Escort,90.13,False,6.67,0,MG Log
[00:01:30] 1,1,1,1,0,0,Information Log
[00:01:30] 90.67,Coronet,Lúcio,60,0,0,60,0,0,0,0,0,38.88,0,0,0,0,0,14,0,0,200,200,Player Log
[00:01:31] Escort,91.14,False,6.67,0,MG Log
[00:01:31] 1,1,1,1,0,0,Information Log
[00:01:32] Escort,92.14,False,6.67,0,MG Log
