[00:01:44] Lijiang Tower,BoomBoomPow,[DE] Supernova,0,8
[00:01:44] Geumeon,Coronet,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:02:14] 134.49,mmmatt,Reaper,423.14,495.43,0,762.10,0,2,1,0,0,116.37,0,0,0,0,762.10,25,0,0,250,250,Player Log
[00:02:15] 135.29,Muttnik,Lúcio,288.49,60,0,82.08,0,0,0,0,0,304.91,0,0,0,0,0,27,0,3.26,150.04,200,Player Log
[00:02:15] 135.92,FinalBlow,Chappadoodle,ENIGMA,Primary Fire
[00:02:16] 136.10,LiamFox,Ana,499.28,0,0,338.02,0,2,0,0,0,659.01,0,0,0,0,0,56,13.77,2.21,55.48,200,Player Log
[00:02:16] Control,136.88,0,0,False,All Teams,1,MG Log
[00:02:16] 0,1,0,0,Information Log
[00:02:16] 136.93,Geumeon,Winston,795.92,160.36,1300.00,977.57,0,1,0,0,0,0,0,0,0,0,0,50,0,3.83,278.63,550,Player Log
[00:02:17] 137.04,FinalBlow,RAT,LiamFox,Primary Fire
[00:02:17] 137.70,Coronet,Sombra,469.54,240,0,452.29,1,1,0,0,0,0,0,0,0,0,0,38,0,0,0,200,Player Log
[00:02:18] 138.49,HOUSE,Reaper,333.92,102.60,0,305.85,1,1,0,0,0,26.90,0,0,0,0,55.85,22,5.20,0,250,250,Player Log
[00:02:19] 139.29,RAT,Lúcio,436.62,147.04,0,236.84,0,2,2,0,0,443.84,0,0,0,0,0,38,0.13,0,76.44,200,Player Log
[00:02:20] 140.10,ENIGMA,Kiriko,68,0,0,301.83,1,0,0,0,0,683.59,0,0,0,0,0,31,0,0,0,200,Player Log
[00:02:20] 140.72,Suicide,RAT
[00:02:20] 140.90,Chappadoodle,Winston,376.69,119.32,650.00,706.26,1,1,1,0,0,0,0,0,0,0,0,29,0,4.43,497.92,550,Player Log
[00:02:21] 141.70,Bunny,Sombra,575.10,527.13,0,196.85,0,2,1,0,0,0,0,0,0,0,0,50,0,0,167.47,200,Player Log
[00:02:22] 142.49,mmmatt,Reaper,807.19,593.55,0,763.10,0,3,1,0,0,116.37,0,0,0,0,763.10,42,0,0,250,250,Player Log
[00:02:23] 143.29,Muttnik,Lúcio,333.49,60,0,83.04,0,1,0,0,0,406.81,0,0,0,0,0,33,0,0,200,200,Player Log
[00:02:24] 144.10,LiamFox,Ana,574.28,0,0,405.78,1,3,0,0,0,659.01,0,0,0,0,0,62,5.77,0,0,200,Player Log
[00:02:24] Control,144.88,0,0,False,All Teams,3,MG Log
[00:02:24] 0,1,0,0,Information Log
[00:02:24] 144.93,Geumeon,Winston,822.84,160.36,1417.67,1301.52,0,2,0,0,0,0,0,0,0,0,0,54,0.90,9.43,12.80,550,Player Log
[00:02:25] 145.23,FinalBlow,Muttnik,Geumeon,Primary Fire
[00:02:25] 145.70,Coronet,Sombra,469.54,240,0,452.29,1,1,0,0,0,0,0,0,0,0,0,41,0,1.61,200,200,Player Log
[00:02:26] 146.50,HOUSE,Reaper,396.27,102.60,0,420.43,1,1,0,0,0,39.22,0,0,0,0,68.18,27,0,3.92,147.75,250,Player Log
[00:02:27] 147.29,RAT,Lúcio,454.12,147.04,0,336.16,1,2,2,1,0,503.32,0,0,0,0,0,42,0,0,0,200,Player Log
[00:02:28] 148.10,ENIGMA,Kiriko,68,0,0,301.83,1,0,0,0,0,683.59,0,0,0,0,0,33,0,0,200,200,Player Log
[00:02:28] 148.90,Chappadoodle,Winston,398.77,242.77,650.00,739.86,1,2,1,0,0,0,0,0,0,0,0,32,1.31,0,507.59,550,Player Log
[00:02:29] 149.70,Bunny,Sombra,620.10,669.63,0,236.39,0,2,1,0,0,0,0,0,0,0,0,56,0,0.34,144.06,200,Player Log
[00:02:30] 150.49,mmmatt,Reaper,836.53,593.55,0,763.10,0,4,1,0,0,116.37,1,0,0,0,763.10,49,0,6.37,250,250,Player Log
[00:02:31] 151.29,Muttnik,Lúcio,371.29,60,0,99.24,0,2,1,0,0,466.02,1,0,0,0,0,39,0,0,200,200,Player Log
[00:02:32] 152.10,LiamFox,Ana,574.28,0,0,405.78,1,4,0,0,0,659.01,1,0,0,0,0,64,0,0,200,200,Player Log
[00:02:32] Control,152.88,0,2.77,False,[DE] Supernova,0,MG Log
[00:02:32] 0,1,0,0,Information Log
[00:02:32] 152.93,Geumeon,Winston,856.44,160.36,1565.95,1314.31,1,2,0,0,0,0,0,0,0,0,0,57,0,1.43,0,550,Player Log
[00:02:33] 153.70,Coronet,Sombra,469.54,240,0,452.29,1,1,0,0,0,131.59,0,0,0,0,0,44,0,0.32,200,200,Player Log
[00:02:33] 153.87,FinalBlow,mmmatt,HOUSE,Primary Fire
[00:02:34] 154.49,HOUSE,Reaper,396.27,102.60,0,777.77,2,1,0,0,0,39.22,0,0,0,0,277.77,29,2.95,9.04,0,250,Player Log
[00:02:35] 155.29,RAT,Lúcio,454.12,147.04,0,336.16,1,2,2,1,0,503.32,0,0,0,0,0,44,0,0,200,200,Player Log
