[00:03:14] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:03:14] Geumeon,Apollo,HOUSE,RAT,ENIGMA,0,Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0
[00:03:47] 227.38,Apollo,Cassidy,232.60,0,0,56.40,0,0,0,0,0,0,0,0,0,0,0,19,0,0.69,177,225,Player Log
[00:03:48] 228.18,HOUSE,Tracer,301.40,0,0,191.77,0,0,0,0,0,0,0,0,0,0,0,33,0,0,150,150,Player Log
[00:03:48] 228.98,RAT,Brigitte,0,0,0,0,0,0,0,0,0,260.53,0,0,0,0,0,14,0,0,200,200,Player Log
[00:03:49] 229.77,ENIGMA,Ana,75,0,0,91.70,0,0,0,0,0,711.31,0,0,0,0,0,36,0,0,98.55,200,Player Log
[00:03:50] 230.57,Chappadoodle,D.Va,330.66,0,232,348.30,0,0,0,0,0,0,0,0,0,0,0,27,0,0,650,650,Player Log
[00:03:51] 231.38,Bunny,Sombra,279.57,0,0,147.66,0,0,0,0,0,0,0,0,0,0,0,27,0,0,200,200,Player Log
[00:03:52] 232.18,mmmatt,Tracer,307.04,0,0,170.50,0,0,0,0,0,0,0,0,0,0,0,35,0,0,150,150,Player Log
[00:03:52] 232.98,Muttnik,Zenyatta,450,0,0,182.46,0,0,0,0,0,107.70,0,0,0,0,0,26,0,0,172.28,200,Player Log
[00:03:53] 233.77,LiamFox,Ana,234.38,0,0,0,0,0,0,0,0,404.29,0,0,0,0,0,33,0,0,200,200,Player Log
[00:03:54] Hybrid,234.56,False,0,0,0,MG Log
[00:03:54] 0,1,0,0,Information Log
[00:03:54] 234.59,Geumeon,Winston,236.46,0,0,1036.55,0,0,0,0,0,0,0,0,0,0,0,22,0,0,366.81,550,Player Log
[00:03:55] 235.38,Apollo,Cassidy,232.60,0,0,180.93,0,0,0,0,0,0,0,0,0,0,0,21,0,0,225,225,Player Log
[00:03:56] 236.18,HOUSE,Tracer,461.36,0,0,191.77,0,0,0,0,0,0,0,0,0,0,0,49,0,0,150,150,Player Log
[00:03:56] 236.98,RAT,Brigitte,0,0,0,51.33,0,0,0,0,0,364.06,0,0,0,0,0,20,0,0,149.93,200,Player Log
[00:03:57] 237.77,ENIGMA,Ana,75,0,0,294.62,0,0,0,0,0,1027.02,0,0,0,0,0,50,0,5.88,150.83,200,Player Log
[00:03:58] 238.57,Chappadoodle,D.Va,506.26,0,302,481.92,0,0,0,0,0,0,0,0,0,0,0,38,0,0,579.96,650,Player Log
[00:03:58] 238.98,FinalBlow,LiamFox,HOUSE,Ability 2
[00:03:59] 239.38,Bunny,Sombra,433.21,0,0,304.16,0,1,0,0,0,0,0,0,0,0,0,39,4.84,1.17,200,200,Player Log
[00:04:00] 240.18,mmmatt,Tracer,416.73,0,0,170.50,0,0,0,0,0,0,0,0,0,0,0,47,0,0,150,150,Player Log
[00:04:00] 240.98,Muttnik,Zenyatta,450,0,0,184.11,0,0,0,0,0,149.65,0,0,0,0,0,31,0,0,200,200,Player Log
[00:04:01] 241.77,LiamFox,Ana,346.11,0,0,34.54,0,1,1,0,0,560.05,0,0,0,0,0,46,0,7.55,200,200,Player Log
[00:04:02] Hybrid,242.56,False,0,0,0,MG Log
[00:04:02] 0,1,0,0,Information Log
[00:04:02] 242.59,Geumeon,Winston,319.16,0,0,1226.58,0,0,0,0,0,0,0,0,0,0,0,27,4.17,11.99,550,550,Player Log
[00:04:03] 243.38,Apollo,Cassidy,477.60,0,0,308.61,0,0,0,0,0,0,0,0,0,0,0,32,0,0,225,225,Player Log
[00:04:04] 244.18,HOUSE,Tracer,497.55,0,0,341.77,1,0,0,0,0,0,0,0,0,0,0,55,0,0,0,150,Player Log
[00:04:04] 244.98,RAT,Brigitte,70,0,0,169.14,0,0,0,0,0,634.42,0,0,0,0,0,32,0,0,102.56,200,Player Log
[00:04:05] 245.77,ENIGMA,Ana,75,0,0,325.67,0,0,0,0,0,1449.84,0,0,0,0,0,66,0,9.13,200,200,Player Log
[00:04:06] 246.57,Chappadoodle,D.Va,573.53,286,372,677.31,0,0,0,0,0,0,0,0,0,0,0,43,0,0,648.12,650,Player Log
[00:04:07] 247.38,Bunny,Sombra,526.11,97.00,0,304.16,0,1,0,0,0,0,0,0,0,0,0,48,0,0,200,200,Player Log
[00:04:08] 248.18,mmmatt,Tracer,729.54,38.50,0,240.50,0,0,0,0,0,0,0,0,0,0,0,75,0,0,115,150,Player Log
[00:04:08] 248.98,Muttnik,Zenyatta,700.80,192,0,247.61,0,0,0,0,0,367.67,0,0,0,0,0,45,0,0,200,200,Player Log
[00:04:09] 249.78,LiamFox,Ana,353.91,75,0,34.54,0,1,1,0,0,698.54,0,0,0,0,0,53,0,0,200,200,Player Log
[00:04:09] 249.81,FinalBlow,Bunny,Geumeon,Primary Fire
[00:04:10] Hybrid,250.56,False,8.24,0,0,MG Log
[00:04:10] 0,1,0,0,Information Log
[00:04:10] 250.59,Geumeon,Winston,429.09,0,650,1808.62,1,0,0,0,0,0,0,0,0,0,0,35,2.30,3.99,0,550,Player Log
[00:04:11] 251.38,Apollo,Cassidy,730.80,0,0,399.11,0,0,0,0,0,0,0,0,0,0,0,45,1.86,6.48,206.14,225,Player Log
[00:04:12] 252.18,HOUSE,Tracer,497.55,0,0,341.77,1,0,0,0,0,0,0,0,0,0,0,58,0,0,150,150,Player Log
[00:04:12] 252.98,RAT,Brigitte,154,0,112.50,422.14,0,0,0,0,0,1010.72,0,0,0,0,0,49,0,0,181.72,200,Player Log
[00:04:13] 253.77,ENIGMA,Ana,78.50,0,0,514.79,0,0,0,0,0,1616.72,0,0,0,0,0,76,13.51,1.13,159.91,200,Player Log
[00:04:14] 254.57,Chappadoodle,D.Va,773.08,338,582,1059.51,0,1,0,0,0,0,1,0,0,0,0,59,2.38,0,443.68,650,Player Log
[00:04:15] 255.38,Bunny,Sombra,798.03,97.00,0,414.10,0,2,1,0,0,0,1,0,0,0,0,64,0,0,200,200,Player Log
[00:04:15] 255.46,FinalBlow,RAT,Chappadoodle,Ability 1
[00:04:15] 255.46,Suicide,Chappadoodle
[00:04:16] 256.17,mmmatt,Tracer,1056.24,60.50,0,310.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,150,Player Log
[00:04:16] 256.98,Muttnik,Zenyatta,700.80,192,0,247.61,0,1,0,0,0,480.96,1,0,0,0,0,51,0,0,200,200,Player Log
[00:04:17] 257.28,FinalBlow,mmmatt,ENIGMA,Ultimate
[00:04:17] 257.77,LiamFox,Ana,353.91,75,0,34.54,0,1,1,0,0,804.74,0,0,0,0,0,59,0,3.32,200,200,Player Log
[00:04:18] Hybrid,258.56,False,42.61,0,0,MG Log
[00:04:18] 0,1,0,0,Information Log
[00:04:18] 258.59,Geumeon,Winston,429.09,0,650,1808.62,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,550,Player Log
[00:04:19] 259.38,Apollo,Cassidy,905.80,0,0,469.61,0,0,0,0,0,0,0,0,0,0,0,55,0,0,225,225,Player Log
[00:04:20] 260.17,HOUSE,Tracer,497.55,0,0,341.77,1,0,0,0,0,0,0,0,0,0,0,62,0,0,150,150,Player Log
[00:04:20] 260.19,FinalBlow,RAT,Bunny,Ability 1
[00:04:20] 260.98,RAT,Brigitte,706.66,0,276.27,479.36,0,2,1,0,1,1249.10,1,1,0,0,0,79,3.52,0,182.19,200,Player Log
[00:04:21] 261.77,ENIGMA,Ana,168.50,0,0,850.42,1,0,0,0,0,1698.29,0,0,0,0,0,86,5.51,4.45,0,200,Player Log
[00:04:22] 262.58,Chappadoodle,D.Va,773.08,338,652,1702.17,1,2,0,1,0,0,1,0,0,0,0,61,0,0,0,150,Player Log
[00:04:23] 263.38,Bunny,Sombra,855.24,260.77,0,614.10,1,2,1,0,0,0,1,0,0,0,0,71,0,0,0,200,Player Log
[00:04:24] 264.17,mmmatt,Tracer,1266.74,60.50,0,400.50,0,1,1,0,0,0,0,0,1,1,0,2,0,0,150,150,Player Log
[00:04:24] 264.56,FinalBlow,HOUSE,Muttnik,Primary Fire
[00:04:24] 264.98,Muttnik,Zenyatta,734.40,288,0,447.61,1,1,0,0,0,527.04,1,0,0,0,0,57,0,0,0,200,Player Log
[00:04:25] 265.77,LiamFox,Ana,481.88,114.23,0,34.54,0,1,1,0,0,878.66,0,0,0,0,0,71,0,8.86,200,200,Player Log
[00:04:26] Hybrid,266.56,False,56.50,0,0,MG Log
[00:04:26] 0,1,0,0,Information Log
