[00:01:45] Blizzard World,BoomBoomPow,[DE] Supernova,0,8
[00:01:45] Chappadoodle,Bunny,mmmatt,Muttnik,LiamFox,0,Geumeon,Apollo,HOUSE,RAT,ENIGMA,0
[00:02:17] 137.29,Chappadoodle,D.Va,219.24,1.33,255.50,769.79,0,0,0,0,0,0,0,0,0,0,0,20,0,0,557.28,650,Player Log
[00:02:18] 138.06,Bunny,Hanzo,97.60,95.40,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5.63,0,200,200,Player Log
[00:02:18] 138.86,mmmatt,Tracer,14.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,150,150,Player Log
[00:02:19] 139.66,Muttnik,Zenyatta,134.40,0,0,138.20,0,0,0,0,0,216.64,0,0,0,0,0,17,0,0,61.80,200,Player Log
[00:02:20] 140.46,LiamFox,Ana,147,60,0,0,0,0,0,0,0,690.71,0,0,0,0,0,36,0,0,200,200,Player Log
[00:02:21] 141.26,Geumeon,Winston,247.57,0,0,481.21,0,0,0,0,0,0,0,0,0,0,0,19,0.23,0,537.81,550,Player Log
[00:02:22] 142.06,Apollo,Cassidy,431.93,0,0,100.60,0,0,0,0,0,0,0,0,0,0,0,28,3.15,0,222,225,Player Log
[00:02:22] 142.86,HOUSE,Tracer,281.30,0,0,70.56,0,0,0,0,0,0,0,0,0,0,0,31,0,0,144.44,150,Player Log
[00:02:23] 143.66,RAT,Brigitte,0,0,180.58,48.03,0,0,0,0,0,388.37,0,0,0,0,0,18,0,0,200,200,Player Log
[00:02:24] 144.46,ENIGMA,Ana,181.26,0,0,3,0,0,0,0,0,229.28,0,0,0,0,0,22,0,4.62,200,200,Player Log
[00:02:25] Hybrid,145.25,False,0,0,0,MG Log
[00:02:25] 0,1,0,0,Information Log
[00:02:25] 145.29,Chappadoodle,D.Va,245.25,25.18,395.50,959.86,0,0,0,0,0,0,0,0,0,0,0,24,3.52,0,650,650,Player Log
[00:02:26] 146.06,Bunny,Hanzo,162.60,220.40,0,44,0,0,0,0,0,0,0,0,0,0,0,21,10.88,5.20,156,200,Player Log
[00:02:26] 146.86,mmmatt,Tracer,14.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,150,150,Player Log
[00:02:27] 147.66,Muttnik,Zenyatta,201.60,48,0,308.19,0,0,0,0,0,276.48,0,0,0,0,0,22,0,0,105.01,200,Player Log
[00:02:28] 148.46,LiamFox,Ana,147,60,0,0,0,0,0,0,0,797.09,0,0,0,0,0,44,0,0,200,200,Player Log
[00:02:29] 149.26,Geumeon,Winston,455.29,0,621.40,548.41,0,0,0,0,0,0,0,0,0,0,0,32,0,7.49,470.61,550,Player Log
[00:02:30] 150.06,Apollo,Cassidy,569.88,0,0,100.60,0,0,0,0,0,0,0,0,0,0,0,37,2.59,0,222,225,Player Log
[00:02:30] 150.86,HOUSE,Tracer,346.76,0,0,87.08,0,0,0,0,0,0,0,0,0,0,0,38,0,0,127.92,150,Player Log
[00:02:31] 151.66,RAT,Brigitte,0,0,312.18,56.12,0,0,0,0,0,391.49,0,0,0,0,0,19,0,0,200,200,Player Log
[00:02:32] 152.46,ENIGMA,Ana,181.26,0,0,3,0,0,0,0,0,309.25,0,0,0,0,0,27,9.48,0,200,200,Player Log
[00:02:33] Hybrid,153.25,False,0,0,0,MG Log
[00:02:33] 0,1,0,0,Information Log
[00:02:33] 153.29,Chappadoodle,D.Va,253.85,273.78,395.50,1025.32,0,0,0,0,0,0,0,0,0,0,0,27,2.33,0,650,650,Player Log
[00:02:34] 154.06,Bunny,Hanzo,162.60,429.80,0,181.95,0,0,0,0,0,0,0,0,0,0,0,23,2.88,0,154.85,200,Player Log
[00:02:34] 154.86,mmmatt,Tracer,74.58,6.60,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,150,150,Player Log
[00:02:35] 155.66,Muttnik,Zenyatta,201.60,192,0,308.19,0,0,0,0,0,462.48,0,0,0,0,0,31,0,0,200,200,Player Log
[00:02:36] 156.46,LiamFox,Ana,199.50,60,0,37.73,0,0,0,0,0,975.36,0,0,0,0,0,52,0,0,200,200,Player Log
[00:02:37] 157.26,Geumeon,Winston,455.29,0,650,660.26,0,0,0,0,0,0,0,0,0,0,0,34,4.34,0,463.62,550,Player Log
[00:02:38] 158.06,Apollo,Cassidy,811.18,0,0,110.95,0,0,0,0,0,0,0,0,0,0,0,49,0,0,211.65,225,Player Log
[00:02:38] 158.86,HOUSE,Tracer,346.76,0,0,106.00,0,0,0,0,0,0,0,0,0,0,0,41,0,0,133.50,150,Player Log
[00:02:39] 159.66,RAT,Brigitte,0,0,312.18,59.17,0,0,0,0,0,530.02,0,0,0,0,0,25,0,0,199.58,200,Player Log
[00:02:40] 160.46,ENIGMA,Ana,286.26,0,0,7.32,0,0,0,0,0,357.42,0,0,0,0,0,34,1.48,0,200,200,Player Log
[00:02:41] Hybrid,161.25,False,0,0,0,MG Log
[00:02:41] 0,1,0,0,Information Log
[00:02:41] 161.30,Chappadoodle,D.Va,535.10,273.78,395.50,1515.73,0,0,0,0,0,0,0,0,0,0,0,46,1.82,0,357.97,650,Player Log
