[00:01:12] Havana,DinnerTime,LeylineFirebird,0,8
[00:01:12] morning,Parallaxian,TOPSPEED,mobee01,Lex,0,Vulpie,Pocky,Dreamer,Raven,Snafucius,0
[00:01:45] 105.01,morning,Sigma,121.26,0,339.80,270,0,0,0,0,0,0,0,0,0,0,0,16,3.01,0,462.18,550,Player Log
[00:01:45] 105.79,Parallaxian,Hanzo,298.89,0,0,248.02,0,1,1,0,0,0,0,0,0,0,0,25,1.28,7.36,200,200,Player Log
[00:01:46] 106.59,TOPSPEED,Mercy,0,0,0,0,0,0,0,0,0,93.58,0,0,0,0,0,14,0,0,200,200,Player Log
[00:01:47] 107.39,mobee01,Ana,135,0,0,0,0,0,0,0,0,410.42,0,0,0,0,0,30,0,0,200,200,Player Log
[00:01:48] 108.19,Lex,Ashe,142.27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,200,200,Player Log
[00:01:48] 108.99,Vulpie,Wrecking Ball,62.50,0,0,237.50,0,0,0,0,0,0,0,0,0,0,0,13,0,0,462.50,700,Player Log
[00:01:49] 109.79,Pocky,Widowmaker,248.02,214.80,0,250,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,175,Player Log
[00:01:50] 110.59,Dreamer,Baptiste,75,250,0,110,0,0,0,0,0,213.66,0,0,0,0,0,19,0,0,95.76,200,Player Log
[00:01:51] 111.39,Raven,Hanzo,125,250,0,393.36,0,0,0,0,0,0,0,0,0,0,0,15,5.81,0,154.20,200,Player Log
[00:01:52] 112.19,Snafucius,Zenyatta,120,144,0,0,0,0,0,0,0,230.50,0,0,0,0,0,22,0,0,200,200,Player Log
[00:01:52] Escort,112.97,False,9.68,0,MG Log
[00:01:52] 0,1,0,0,Information Log
[00:01:53] 113.01,morning,Sigma,289.70,0,933.80,382.50,0,0,0,0,0,0,0,0,0,0,0,23,0,9.79,504.32,550,Player Log
[00:01:53] 113.79,Parallaxian,Hanzo,514.89,0,0,248.02,0,1,1,0,0,0,0,0,0,0,0,40,5.99,0,200,200,Player Log
[00:01:54] 114.59,TOPSPEED,Mercy,0,0,0,0,0,0,0,0,0,178.47,0,0,0,0,0,20,2.01,0,200,200,Player Log
[00:01:55] 115.39,mobee01,Ana,349.24,0,0,139.57,0,0,0,0,0,465.10,0,0,0,0,0,42,7.31,5.87,200,200,Player Log
[00:01:56] 116.19,Lex,Ashe,303.40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,3.43,8.30,200,200,Player Log
[00:01:56] 116.99,Vulpie,Wrecking Ball,202.07,0,0,697.47,0,0,0,0,0,0,0,0,0,0,0,24,0,10.10,218.85,700,Player Log
[00:01:57] 117.79,Pocky,Widowmaker,248.02,214.80,0,250,1,0,0,0,0,0,0,0,0,0,0,30,10.21,0,175,175,Player Log
[00:01:58] 118.59,Dreamer,Baptiste,125,400,0,110,0,0,0,0,0,419.22,0,0,0,0,0,31,8.21,0,200,200,Player Log
[00:01:58] 118.77,FinalBlow,mobee01,Vulpie,Primary Fire
[00:01:59] 119.39,Raven,Hanzo,125,358.60,0,549.36,0,0,0,0,0,0,0,0,0,0,0,17,10.74,0,200,200,Player Log
[00:02:00] 120.19,Snafucius,Zenyatta,120,176.68,0,65,0,0,0,0,0,327.62,0,0,0,0,0,26,0,0,174.12,200,Player Log
[00:02:00] Escort,120.97,False,9.68,0,MG Log
